"filename", "language", "SCSS", "JSON", "TypeScript", "Markdown", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-plan-muestreo\ela-plan-muestreo.component.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 11, 38
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 2, 2, 58
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 9, 0, 55
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 2, 2, 58
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.scss", "SCSS", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 6, 63
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 6, 6, 60
